ruta,bytes_antes,bytes_despues,bytes_ahorrados,dimensiones_antes,dimensiones_despues,calidad,estado
assets/productos/BEAUTY_CARE/cuidado_facial/fine_lady_tonico_de_rosas_facial/fine_lady_tonico_de_rosas_facial_0.webp,122970,120478,2492,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/fine_lady_tonico_de_rosas_facial/fine_lady_tonico_de_rosas_facial_1.webp,12140,11892,248,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/fine_lady_tonico_de_rosas_facial/fine_lady_tonico_de_rosas_facial_2.webp,16962,16724,238,467x757,467x757,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/kaba_locion_astringente_kaba/kaba_locion_astringente_kaba_0.webp,7646,7548,98,364x500,364x500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/kaba_locion_astringente_kaba/kaba_locion_astringente_kaba_1.webp,68244,66562,1682,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/montoc_agua_de_rosas_skincare/montoc_agua_de_rosas_skincare_0.webp,112084,109414,2670,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/montoc_agua_de_rosas_skincare/montoc_agua_de_rosas_skincare_1.webp,10850,10676,174,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/montoc_agua_de_rosas_skincare/montoc_agua_de_rosas_skincare_2.webp,13064,12732,332,554x554,554x554,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/montoc_agua_de_rosas_skincare/montoc_agua_de_rosas_skincare_3.webp,6400,6282,118,500x500,500x500,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/neutrogena_hydro_boost_exfoliante_diario/neutrogena_hydro_boost_exfoliante_diario_0.webp,118606,115648,2958,1086x1448,1086x1448,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/neutrogena_hydro_boost_exfoliante_diario/neutrogena_hydro_boost_exfoliante_diario_1.webp,7736,7604,132,600x600,600x600,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/neutrogena_hydro_boost_exfoliante_diario/neutrogena_hydro_boost_exfoliante_diario_2.webp,12982,12898,84,600x600,600x600,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/neutrogena_hydro_boost_exfoliante_diario/neutrogena_hydro_boost_exfoliante_diario_3.webp,16240,16100,140,600x600,600x600,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/neutrogena_hydro_boost_exfoliante_diario/neutrogena_hydro_boost_exfoliante_diario_4.webp,22114,21702,412,600x600,600x600,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/nixoderm_crema_facial/nixoderm_crema_facial_0.webp,121972,118874,3098,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/nixoderm_crema_facial/nixoderm_crema_facial_1.webp,21528,21150,378,800x801,800x801,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/nixoderm_crema_facial/nixoderm_crema_facial_2.webp,32578,31818,760,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/nixoderm_crema_facial/nixoderm_crema_facial_3.webp,26302,26026,276,700x500,700x500,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/nixoderm_crema_facial/nixoderm_crema_facial_4.webp,34432,34170,262,800x776,800x776,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/ollie_protector_solar_en_barra/ollie_protector_solar_en_barra_0.webp,99080,97356,1724,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/ollie_protector_solar_en_barra/ollie_protector_solar_en_barra_1.webp,14226,13986,240,736x736,736x736,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/ollie_protector_solar_en_barra/ollie_protector_solar_en_barra_2.webp,13916,13484,432,474x842,474x842,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/purpure_tonico_control_grasa_facial/purpure_tonico_control_grasa_facial_0.webp,121700,118778,2922,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/purpure_tonico_control_grasa_facial/purpure_tonico_control_grasa_facial_1.webp,14364,13864,500,300x1000,300x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/purpure_tonico_control_grasa_facial/purpure_tonico_control_grasa_facial_2.webp,25158,24920,238,456x1000,456x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/purpure_tonico_control_grasa_facial/purpure_tonico_control_grasa_facial_3.webp,23324,23060,264,422x1000,422x1000,76,optimizada
assets/productos/BEAUTY_CARE/fragancia_corporal/purpure_brilli_brilli_spray_corporal/purpure_brilli_brilli_spray_corporal_0.webp,122872,119682,3190,1086x1448,1086x1448,80,optimizada
assets/productos/BEAUTY_CARE/fragancia_corporal/purpure_brilli_brilli_spray_corporal/purpure_brilli_brilli_spray_corporal_1.webp,7114,6954,160,768x768,768x768,76,optimizada
assets/productos/BEAUTY_CARE/fragancia_corporal/purpure_brilli_brilli_spray_corporal/purpure_brilli_brilli_spray_corporal_2.webp,22498,22070,428,799x799,799x799,76,optimizada
